Package,N,A,Ce,Ca,I,D,post,IPIC ,IIPUD,IIPED,PF ,IPSC ,,Package Name ,SLOC,pkgKLOC
org.apache.camel.spring.issues,1,0,4,1,0.8,0.2,0,0.995238095,0.75,1,1,0,,org.apache.camel.spring.issues,27,0.027
org.apache.camel.spring.managment,1,0,5,0,0,1,0,1,0.75,1,0,0,,org.apache.camel.spring.managment,21,0.021
org.apache.camel.spring.mock,2,0,5,0,0,1,0,1,0.555555556,1,0,0,,org.apache.camel.spring.mock,33,0.033
org.apache.camel.spring.processor,45,0,10,5,0.666666667,0.333333333,0,0.976190476,0.325,0.195402299,1,0.8,,org.apache.camel.spring.processor,581,0.581
org.apache.camel.spring.processor.onexception,5,0,6,0,0,1,0,1,0.428571429,0.75,0,0,,org.apache.camel.spring.processor.onexception,78,0.078
org.apache.camel.spring.produce,3,0.5,3,0,0,0.5,0,1,1,1,0,0,,org.apache.camel.spring.produce,37,0.037
org.apache.camel.spring.remoting,10,0.25,14,3,0.823529412,0.073529412,0,0.99047619,0.161458333,0.5,0.5,0.75,,org.apache.camel.spring.remoting,278,0.278
org.apache.camel.spring.spi,7,0,11,1,0.916666667,0.083333333,0,0.995238095,0.226190476,0.555555556,1,0,,org.apache.camel.spring.spi,395,0.395
org.apache.camel.spring.util,3,0,8,1,0.888888889,0.111111111,0,0.995238095,0.555555556,0.75,1,0,,org.apache.camel.spring.util,217,0.217
org.apache.camel.spring.xml,2,0,9,0,0,1,0,1,0.305555556,1,0,0,,org.apache.camel.spring.xml,103,0.103
org.apache.camel.testng,3,0,4,1,0.8,0.2,0,0.995238095,0.75,1,1,0,,org.apache.camel.testng,73,0.073
org.apache.camel.testng.example,1,0,4,0,0,1,0,1,0.75,1,0,0,,org.apache.camel.testng.example,22,0.022
org.apache.camel.tests.partialclasspath,3,0,5,0,0,1,0,1,0.4,1,0,0,,org.apache.camel.tests.partialclasspath,77,0.077
org.apache.camel.util,37,0.057142857,25,95,0.208333333,0.73452381,37,0.538095238,0.125714286,0.555555556,0.068070175,0.360704037,,org.apache.camel.util,3161,3.161
org.apache.camel.util.concurrent,3,0,4,1,0.8,0.2,1,0.995238095,1,1,1,0,,org.apache.camel.util.concurrent,131,0.131
org.apache.camel.util.jndi,4,0,8,17,0.32,0.68,1,0.919047619,0.625,1,0.25,0.525951557,,org.apache.camel.util.jndi,419,0.419
org.apache.camel.view,8,0.142857143,16,4,0.8,0.057142857,1,0.980952381,0.197530864,0.75,0.5,0.666666667,,org.apache.camel.view,742,0.742
org.apache.camel.wsdl_first,6,0,6,1,0.857142857,0.142857143,0,0.995238095,1,1,1,0,,org.apache.camel.wsdl_first,98,0.098
